State,Year,annual_avg_temp,annual_avg_rainfall,land_use (ha_bil),water use (mega ltr),labour_cost,fertiliser_cost,export_income,overall_farm_income,land_share,co2_emissions_mtco2e,agricultural_debt_aud_b,agri_insurance_cost_aud_m,avg_min_temp,avg_max_temp,avg_temp_9am,avg_temp_3pm,avg_rainfall,total_rainfall,avg_evaporation,avg_sunshine,avg_humidity_9am,avg_humidity_3pm,avg_pressure_9am,avg_pressure_3pm,avg_cloud_9am,avg_cloud_3pm,avg_wind_gust_speed,avg_wind_speed_9am,avg_wind_speed_3pm,most_common_wind_gust_dir,most_common_wind_dir_9am,most_common_wind_dir_3pm,rain_today_pct,rain_tomorrow_pct
NSW,2010,18.90123113,527.5611784,1.137857143,105267504,140,566,35.86,1105.43,0.25,19.044,2.5,51.07,13.238864059590316,23.113841598815693,17.444654205607478,21.737768240343346,2.805997736703131,14877.4,4.786627718273288,7.208324084350721,72.15144140771247,55.52529400784021,1018.8404314395558,1016.382316552901,4.44226393629124,4.612912400455063,38.5896827109864,13.077169811320754,17.553055868016497,NE,SW,SE,24.707657487740477,24.655725334842483
NT,2010,27.46038235,532.2246927,0.182057143,22014599,101,352,22.07,639.82,0.04,3.047,0.4,12.67,18.30945205479452,29.62041095890411,23.55109589041096,28.34883401920439,4.146301369863013,3026.8,6.62586926286509,8.539148936170212,61.91917808219178,45.22802197802198,1013.9435616438357,1010.5034293552812,4.060857538035961,4.353521126760564,40.53072625698324,15.210958904109589,19.652949245541837,E,E,ESE,25.89041095890411,25.89041095890411
QLD,2010,23.4829824,602.8705008,1.001314286,131594286,132,574,26.11,1289.05,0.22,16.759,2.2,63.52,19.469931506849314,27.476353666895132,23.86134338588074,25.768291008922443,5.736494845360824,8346.6,5.313783533765032,6.610175763182238,69.09732693625772,62.60054907343857,1016.3322138450994,1013.4789293067948,5.052054794520548,5,36.53480358373535,14.489026063100138,20.095467032967033,SE,SSE,ENE,31.477663230240548,31.34020618556701
SA,2010,20.29608706,237.4983895,0.455142857,25032904,111,380,9.55,797.8,0.1,7.618,1,23.69,10.818887362637362,22.073731138545952,15.403152844413983,20.578174330816747,1.53767217630854,2232.7,5.530045871559633,7.420428571428571,66.18574366004113,45.92783505154639,1019.0593278463649,1016.9882554945054,4.441619585687382,4.791509433962264,39.934346924671736,14.49006168608636,18.410714285714285,WSW,NE,WSW,20.9366391184573,20.951068228807717
TAS,2010,12.87077885,1320.752307,0.273085714,61100604,114,471,89.79,735.68,0.06,4.571,0.6,16.18,8.493972602739726,18.57764060356653,12.207818930041153,17.062962962962963,1.8554794520547946,1354.5,3.5142857142857142,6.85521978021978,73.13324175824175,55.30452674897119,1016.0196159122085,1014.2405479452054,4.546546546546547,4.767371601208459,40.016460905349795,12.073972602739726,16.983539094650205,NNW,NNW,NNW,23.28767123287671,23.28767123287671
VIC,2010,16.48243191,612.3146069,0.819257143,120001963,136,499,34,1195.63,0.18,13.712,1.8,51.56,9.427170271093512,20.036449451887943,13.451532801961987,18.551952410006102,2.2125533211456427,7261.6,3.9544627231361567,6.536720282463711,76.35916359163592,55.869073111043136,1018.5035834609495,1016.6683001531394,4.90261780104712,5.273224043715847,41.15597175314707,15.180267965895249,19.86719463904965,N,N,N,26.995734308348567,26.81291895185862
WA,2010,21.83543602,275.6406126,0.682714286,33261961,119,458,11.2,904.24,0.15,11.427,1.5,25.86,11.33352,23.5406237504998,17.37352236421725,21.91288906624102,1.5144475920679887,3742.2,5.252477064220184,8.552880658436214,63.978035143769965,49.09896249002394,1018.7041360294118,1016.4662081613939,3.545521835677276,3.6569506726457397,39.593464680442096,14.234507897934387,18.33885968459361,SSW,E,SW,18.13031161473088,18.13031161473088
NSW,2011,18.84782959,542.2482429,1.1385,99357724,133,558,33.11,1102.9,0.25,19.404,2.63,50.95,12.951918826602371,23.109107285828664,17.255437612657722,21.633755528749496,3.086800894854586,15177.8,5.187052748063445,7.259349976448422,71.96592503507716,54.864815932407964,1017.8446171693736,1015.5350358215854,4.433768986223949,4.6109530583214795,39.050282977797124,13.278668805132318,17.698109412711183,S,SW,SE,24.750864348179785,24.750864348179785
NT,2011,27.52033237,537.5216256,0.18216,23479398,101,425,27.95,579.31,0.04,3.105,0.42,11.47,17.38731343283582,30.09686567164179,23.32179104477612,28.805530642750373,4.267462686567164,2859.2,6.716216216216216,8.494736842105263,58.374626865671644,39.988041853512705,1013.5585949177878,1009.906576980568,4.007530120481928,4.179447852760736,41.02318392581144,14.853512705530642,19.04035874439462,ESE,E,E,21.940298507462686,22.08955223880597
QLD,2011,23.43274702,621.7830578,1.00188,113679964,139,630,32.69,1286.27,0.22,17.076,2.31,63.39,18.042313432835822,27.176044776119404,23.266716417910448,25.465844544095667,4.579325842696629,6113.4,5.844174265450861,7.974288617886179,65.39402985074626,58.05829596412556,1015.8444029850747,1012.8370702541106,4.086739780658026,4.086739780658026,36.52105263157895,14.151832460732985,20.306596701649177,ENE,SSE,ENE,25.767790262172284,25.692883895131086
